type,entry_price,exit_price,qty,pnl,pnl_pct,bars_held,reason,entry_date,exit_date
CORE,13.41991138458252,12.82909870147705,3720.2183061623186,-2269.542730963039,-4.40250808052447,18,DAILY BREAKER,2024-02-01,2024-02-28
TRIM,13.41991138458252,12.82909870147705,3720.2183061623186,-2269.542730963039,-4.40250808052447,18,DAILY BREAKER,2024-02-01,2024-02-28
