type,entry_price,exit_price,qty,pnl,pnl_pct,bars_held,reason,entry_date,exit_date
TRIM,108.29191589355469,116.05323028564453,138.3067228649099,1049.3655457561651,7.167030270033092,8,TP1 2R,2024-03-11,2024-03-21
TRIM,108.29191589355469,120.91108703613281,138.30672286490991,1720.2319816924191,11.652920754474527,14,TP2 3R,2024-03-11,2024-04-01
TRIM,122.00105285644531,116.83311462402344,182.45859386007922,-974.9105517593277,-4.235978388238026,6,TRIM SL,2024-04-23,2024-05-01
CORE,108.29191589355469,114.86930084228516,461.02240954969966,2952.885874813249,6.073754346719373,37,TREND EXIT,2024-03-11,2024-05-02
TRIM,108.29191589355469,114.86930084228516,184.40896381987986,1181.1543499252996,6.073754346719373,37,TREND EXIT,2024-03-11,2024-05-02
CORE,106.54037475585938,100.20661163330078,495.52420451285195,-3213.0151351534637,-5.944941659040159,3,TREND EXIT,2024-10-10,2024-10-15
TRIM,106.54037475585938,100.20661163330078,495.52420451285195,-3213.0151351534637,-5.944941659040159,3,TRIM SL,2024-10-10,2024-10-15
CORE,107.24651336669922,101.76045989990234,461.6089351641846,-2602.871605366206,-5.115367665183546,8,DAILY BREAKER,2024-11-13,2024-11-25
TRIM,107.24651336669922,101.76045989990234,461.6089351641846,-2602.871605366206,-5.115367665183546,8,DAILY BREAKER,2024-11-13,2024-11-25
