type,entry_price,exit_price,qty,pnl,pnl_pct,bars_held,reason,entry_date,exit_date
TRIM,42.49510955810547,45.87542724609375,352.4523211199301,1167.147464031344,7.954604007706401,10,TP1 2R,2024-03-06,2024-03-20
TRIM,42.49510955810547,47.35711669921875,352.45232111993016,1688.5890136337712,11.44133334793558,16,TP2 3R,2024-03-06,2024-03-28
CORE,42.49510955810547,47.99885940551758,1174.841070399767,6381.444814903278,12.951489958830642,42,TREND EXIT,2024-03-06,2024-05-06
TRIM,42.49510955810547,47.99885940551758,469.93642815990677,2552.577925961311,12.951489958830642,42,TREND EXIT,2024-03-06,2024-05-06
TRIM,49.6126594543457,47.99885940551758,460.5312630475499,-776.3628378133113,-3.2527989157952075,9,TREND EXIT,2024-04-23,2024-05-06
CORE,35.05488204956055,33.303104400634766,1578.422498449829,-2843.894807227277,-4.997243027231191,1,DAILY BREAKER,2025-02-28,2025-03-03
TRIM,35.05488204956055,33.303104400634766,1578.422498449829,-2843.894807227277,-4.997243027231191,1,DAILY BREAKER,2025-02-28,2025-03-03
