Market,Ticker,Name,Preset,Close,Total Score,Market(30),Sector(30),Stock(50),Ichi(15),EMA Trend,EMA Stack,Entry Signal,Candle Trig,RSI,ADX,ATR,Entry Zone,SL (1.5 ATR),TP1 (2R),TP2 (3R)
COMMODITY,XOM,ExxonMobil,XOM,173.69,95,0,30,50,15,YES,FULL,YES,no,78.5,39.5,4.35,173.69,167.17,186.73,193.25
COMMODITY,EOG,EOG Resources,Oil Sector,150.11,95,0,30,50,15,YES,FULL,YES,no,85.8,55.3,3.38,150.11,145.05,160.24,165.3
COMMODITY,OXY,Occidental,OXY,67.32,95,0,30,50,15,YES,FULL,YES,no,84.3,55.6,1.96,67.32,64.38,73.2,76.14
SP500,XOM,ExxonMobil,XOM,173.68,95,0,30,50,15,YES,FULL,YES,no,78.5,39.5,4.35,173.68,167.15,186.72,193.24
OSLO,VAR.OL,Var Energi,Oil Sector,50.54,95,0,30,50,15,YES,FULL,YES,no,74.4,43.2,2.04,50.54,47.49,56.65,59.7
OSLO,EQNR.OL,Equinor,Oil Sector,420.4,95,0,30,50,15,YES,FULL,YES,no,80.2,57.0,15.55,420.4,397.08,467.04,490.36
COMMODITY,COP,ConocoPhillips,Oil Sector,134.85,85,0,30,40,15,YES,FULL,no,no,80.0,49.0,3.34,134.85,129.84,144.88,149.89
COMMODITY,CVX,Chevron,Oil Sector,212.15,85,0,30,40,15,YES,FULL,no,no,80.7,51.4,4.32,212.15,205.68,225.1,231.58
COMMODITY,VLO,Valero,Oil Sector,251.44,85,0,30,40,15,YES,FULL,no,no,68.0,51.2,9.13,251.44,237.74,278.84,292.55
COMMODITY,PSX,Phillips 66,Oil Sector,184.9,85,0,30,40,15,YES,FULL,no,no,69.1,56.1,5.66,184.9,176.42,201.87,210.35
COMMODITY,CTRA,Coterra Energy,Oil Sector,36.15,85,0,30,40,15,YES,FULL,no,no,76.4,52.3,0.94,36.15,34.74,38.96,40.37
COMMODITY,APA,APA Corp,Oil Sector,43.53,85,0,30,40,15,YES,FULL,no,no,83.2,76.2,1.7,43.53,40.99,48.63,51.18
COMMODITY,EQT,EQT Corp,Oil Sector,64.8,85,0,30,40,15,YES,FULL,no,no,56.4,25.0,2.23,64.8,61.45,71.5,74.85
COMMODITY,DVN,Devon Energy,Oil Sector,51.81,85,0,30,40,15,YES,FULL,no,no,77.0,50.4,1.36,51.81,49.77,55.88,57.92
COMMODITY,FANG,Diamondback,Oil Sector,201.92,85,0,30,40,15,YES,FULL,no,no,73.0,38.4,5.79,201.92,193.24,219.28,227.97
COMMODITY,MPC,Marathon Petroleum,Oil Sector,248.05,85,0,30,40,15,YES,FULL,no,no,69.0,58.0,8.62,248.05,235.13,273.91,286.84
COMMODITY,XLE,Energy Select ETF,Oil Sector,62.53,85,0,30,40,15,YES,FULL,no,no,79.0,55.5,1.28,62.53,60.61,66.38,68.31
SP500,CVX,Chevron,Oil Sector,212.15,85,0,30,40,15,YES,FULL,no,no,80.7,51.4,4.32,212.15,205.68,225.1,231.58
OSLO,AKRBP.OL,Aker BP,Oil Sector,361.1,85,0,30,40,15,YES,FULL,no,no,68.4,42.8,12.25,361.1,342.72,397.86,416.24
OSLO,HAUTO.OL,Hoegh Autoliners,Universal,138.9,80,0,15,50,15,YES,FULL,YES,no,62.9,27.2,5.64,138.9,130.44,155.82,164.29
STOCKHOLM,TELIA.ST,Telia,Universal,48.24,80,0,15,50,15,YES,FULL,YES,no,66.5,22.1,0.81,48.24,47.03,50.66,51.87
OSLO,AKSO.OL,Aker Solutions,Universal,46.34,80,0,15,50,15,YES,FULL,YES,no,73.1,50.8,1.31,46.34,44.37,50.27,52.24
OSLO,SUBC.OL,Subsea 7,Universal,300.4,80,0,15,50,15,YES,FULL,YES,no,77.6,36.4,9.65,300.4,285.93,329.35,343.82
OSLO,NHY.OL,Norsk Hydro,Gold Miners,102.5,80,0,20,50,10,YES,FULL,YES,no,69.3,28.8,4.01,102.5,96.49,114.52,120.53
OSLO,YAR.OL,Yara,Universal,564.0,80,0,15,50,15,YES,FULL,YES,no,66.1,26.8,18.08,564.0,536.88,618.24,645.36
OSLO,FRO.OL,Frontline,Universal,339.9,75,0,15,50,10,YES,FULL,YES,no,59.0,29.3,16.51,339.9,315.14,389.42,414.18
STOCKHOLM,TEL2-B.ST,Tele2,Universal,194.6,75,0,15,50,10,YES,FULL,YES,no,62.7,22.5,3.6,194.6,189.2,205.4,210.8
STOCKHOLM,ERIC-B.ST,Ericsson,Universal,106.3,70,0,15,40,15,YES,FULL,no,no,52.6,19.2,3.0,106.3,101.8,115.29,119.79
OSLO,AKER.OL,Aker ASA,Universal,1070.0,70,0,15,40,15,YES,FULL,YES,no,60.3,30.6,30.85,1070.0,1023.73,1162.55,1208.82
OSLO,HAFNI.OL,Hafnia,Universal,74.58,70,0,15,40,15,YES,FULL,no,no,64.5,25.5,3.1,74.58,69.93,83.88,88.54
OSLO,TGS.OL,TGS NOPEC,Universal,132.0,70,0,15,40,15,YES,FULL,no,no,77.9,60.8,3.92,132.0,126.12,143.75,149.63
SP500,PFE,Pfizer,Universal,27.85,65,0,0,50,15,YES,FULL,YES,no,59.2,20.5,0.65,27.85,26.88,29.79,30.76
SP500,SO,Southern Company,Universal,95.87,65,0,15,40,10,YES,FULL,no,no,52.7,22.1,1.67,95.87,93.36,100.88,103.39
SP500,LIN,Linde,Universal,498.05,65,0,15,40,10,YES,FULL,no,no,58.1,16.0,10.16,498.05,482.81,528.55,543.79
OSLO,TEL.OL,Telenor,Universal,170.3,64,0,15,42,7,no,no,no,no,54.5,29.8,3.12,170.3,165.62,179.65,184.33
SP500,MO,Altria,Universal,66.45,62,0,15,40,7,YES,FULL,YES,no,57.2,30.9,1.29,66.45,64.52,70.32,72.25
STOCKHOLM,EVO.ST,Evolution,Universal,585.2,62,0,15,34,13,no,no,no,no,55.8,32.2,18.01,585.2,558.19,639.23,666.24
SP500,NFLX,Netflix,Universal,94.94,60,0,15,32,13,YES,no,YES,no,58.4,24.8,2.66,94.94,90.95,102.91,106.9
