Market,Ticker,Name,Close,Total Score,Market(30),Sector(30),Stock(50),Ichi(15),EMA Trend,EMA Stack,Entry Signal,Candle Trig,RSI,ATR,Entry Zone,SL (1.5 ATR),TP1 (2R),TP2 (3R)
COMMODITY,XOM,ExxonMobil,170.99,95,0,30,50,15,YES,FULL,YES,no,76.4,4.44,170.99,164.33,184.3,190.96
COMMODITY,CVX,Chevron,211.15,95,0,30,50,15,YES,FULL,YES,no,80.9,4.46,211.15,204.47,224.52,231.2
COMMODITY,COP,ConocoPhillips,133.8,95,0,30,50,15,YES,FULL,YES,no,81.4,3.19,133.8,129.01,143.38,148.16
COMMODITY,EOG,EOG Resources,149.56,95,0,30,50,15,YES,FULL,YES,no,85.4,3.66,149.56,144.07,160.54,166.03
COMMODITY,DVN,Devon Energy,52.07,95,0,30,50,15,YES,FULL,YES,no,81.1,1.42,52.07,49.94,56.33,58.46
COMMODITY,OXY,Occidental,65.32,95,0,30,50,15,YES,FULL,YES,no,81.9,2.0,65.32,62.32,71.32,74.32
COMMODITY,MPC,Marathon Petroleum,251.91,95,0,30,50,15,YES,FULL,YES,no,75.9,8.54,251.91,239.11,277.52,290.32
COMMODITY,VLO,Valero,254.32,95,0,30,50,15,YES,FULL,YES,no,71.7,9.4,254.32,240.22,282.52,296.63
COMMODITY,CTRA,Coterra Energy,36.31,95,0,30,50,15,YES,FULL,YES,no,80.4,0.98,36.31,34.84,39.25,40.73
COMMODITY,PSX,Phillips 66,188.28,95,0,30,50,15,YES,FULL,YES,no,75.7,6.0,188.28,179.28,206.27,215.27
COMMODITY,APA,APA Corp,44.39,95,0,30,50,15,YES,FULL,YES,no,89.5,1.69,44.39,41.85,49.47,52.01
OSLO,VAR.OL,Var Energi,50.38,95,0,30,50,15,YES,FULL,YES,no,74.1,2.13,50.38,47.19,56.77,59.96
OSLO,AKRBP.OL,Aker BP,362.9,95,0,30,50,15,YES,FULL,YES,no,69.4,12.16,362.9,344.66,399.39,417.63
SP500,CVX,Chevron,211.15,95,0,30,50,15,YES,FULL,YES,no,80.9,4.46,211.15,204.47,224.52,231.2
SP500,XOM,ExxonMobil,170.99,95,0,30,50,15,YES,FULL,YES,no,76.4,4.44,170.99,164.33,184.3,190.96
COMMODITY,XLE,Energy Select ETF,62.56,95,0,30,50,15,YES,FULL,YES,no,83.4,1.28,62.56,60.64,66.4,68.32
OSLO,EQNR.OL,Equinor,415.0,95,0,30,50,15,YES,FULL,YES,no,79.3,15.29,415.0,392.06,460.88,483.82
COMMODITY,FANG,Diamondback,201.84,85,0,30,40,15,YES,FULL,no,no,77.1,5.71,201.84,193.28,218.96,227.53
COMMODITY,EQT,EQT Corp,67.55,85,0,30,40,15,YES,FULL,no,no,72.2,2.17,67.55,64.29,74.06,77.32
OSLO,SUBC.OL,Subsea 7,288.2,80,0,15,50,15,YES,FULL,YES,no,72.9,8.72,288.2,275.12,314.36,327.44
OSLO,TGS.OL,TGS NOPEC,130.6,80,0,15,50,15,YES,FULL,YES,no,77.9,3.71,130.6,125.03,141.73,147.3
OSLO,YAR.OL,Yara,552.0,80,0,15,50,15,YES,FULL,YES,no,63.5,18.12,552.0,524.82,606.37,633.55
STOCKHOLM,ERIC-B.ST,Ericsson,106.6,70,0,15,40,15,YES,FULL,no,no,53.6,2.91,106.6,102.24,115.32,119.69
OSLO,HAUTO.OL,Hoegh Autoliners,133.6,70,0,15,40,15,YES,FULL,no,no,57.4,5.34,133.6,125.59,149.62,157.63
OSLO,NHY.OL,Norsk Hydro,99.82,70,0,10,50,10,YES,FULL,YES,no,66.6,3.93,99.82,93.93,111.6,117.5
OSLO,AKER.OL,Aker ASA,1090.0,70,0,15,40,15,YES,FULL,no,no,65.1,31.06,1090.0,1043.41,1183.19,1229.78
OSLO,AKSO.OL,Aker Solutions,45.46,70,0,15,40,15,YES,FULL,no,no,70.6,1.28,45.46,43.54,49.3,51.22
SP500,NFLX,Netflix,93.43,70,0,15,42,13,YES,no,YES,no,54.9,2.78,93.43,89.26,101.77,105.94
STOCKHOLM,TELIA.ST,Telia,47.72,70,0,15,40,15,YES,FULL,no,no,63.4,0.81,47.72,46.51,50.14,51.36
SP500,SO,Southern Company,95.55,67,0,15,42,10,no,no,no,no,52.2,1.61,95.55,93.13,100.39,102.81
STOCKHOLM,TEL2-B.ST,Tele2,190.75,65,0,15,40,10,YES,FULL,YES,no,56.4,3.41,190.75,185.63,200.99,206.11
OSLO,HAFNI.OL,Hafnia,72.8,65,0,15,40,10,YES,FULL,no,no,60.3,2.9,72.8,68.45,81.5,85.86
SP500,LIN,Linde,491.12,65,0,15,40,10,YES,FULL,no,no,54.1,10.67,491.12,475.12,523.13,539.13
SP500,CSCO,Cisco,79.92,65,0,15,40,10,YES,FULL,no,no,52.3,2.04,79.92,76.87,86.03,89.08
OSLO,FRO.OL,Frontline,332.4,65,0,15,40,10,YES,FULL,no,no,56.1,16.25,332.4,308.02,381.15,405.53
SP500,MO,Altria,66.48,64,0,15,42,7,no,no,no,no,58.6,1.4,66.48,64.38,70.67,72.77
SP500,PFE,Pfizer,27.04,55,0,0,40,15,YES,FULL,no,no,50.7,0.64,27.04,26.07,28.97,29.94
SP500,COST,Costco,983.86,51,0,15,34,2,no,no,no,no,49.7,15.87,983.86,960.06,1031.46,1055.27
OSLO,TEL.OL,Telenor,167.9,51,0,15,34,2,no,no,no,no,47.8,3.18,167.9,163.13,177.45,182.22
STOCKHOLM,AZN.ST,AstraZeneca,1824.5,49,0,0,42,7,no,no,no,no,58.0,39.63,1824.5,1765.06,1943.38,2002.82
SP500,MRK,Merck,119.63,47,0,0,40,7,YES,FULL,no,no,60.3,2.49,119.63,115.89,127.1,130.84
OSLO,NOD.OL,Nordic Semi,147.1,47,0,0,32,15,YES,FULL,no,no,49.9,6.63,147.1,137.15,167.0,176.95
STOCKHOLM,SWED-A.ST,Swedbank,314.2,44,0,0,42,2,no,no,no,no,58.2,8.09,314.2,302.06,338.47,350.61
SP500,WMT,Walmart,122.89,41,0,15,24,2,no,no,no,no,48.6,2.64,122.89,118.93,130.8,134.76
SP500,CAT,Caterpillar,695.4,41,0,15,24,2,no,no,no,no,46.1,22.49,695.4,661.66,762.87,796.61
OSLO,ORK.OL,Orkla,119.6,41,0,15,24,2,no,no,no,no,48.8,1.95,119.6,116.67,125.46,128.4
SP500,KO,Coca-Cola,75.71,41,0,15,24,2,no,no,no,no,46.0,1.25,75.71,73.83,79.47,81.35
SP500,JNJ,Johnson & Johnson,240.45,39,0,0,32,7,no,no,no,no,53.8,4.08,240.45,234.32,252.7,258.83
SP500,AMAT,Applied Materials,337.17,36,0,0,24,12,no,FULL,no,no,44.6,17.19,337.17,311.38,388.74,414.53
STOCKHOLM,SHB-A.ST,Handelsbanken,121.35,36,0,0,34,2,no,no,no,no,50.3,3.27,121.35,116.45,131.15,136.04
COMMODITY,AGI,Alamos Gold,42.54,33,0,10,16,7,no,no,no,no,45.3,2.63,42.54,38.59,50.44,54.39
SP500,PEP,PepsiCo,153.04,33,0,15,16,2,no,no,no,no,41.8,3.06,153.04,148.45,162.23,166.82
STOCKHOLM,INVE-B.ST,Investor,346.4,33,0,15,16,2,no,no,no,no,44.7,7.62,346.4,334.97,369.26,380.68
STOCKHOLM,ABB.ST,ABB,747.0,33,0,15,16,2,no,no,no,no,38.4,23.02,747.0,712.46,816.07,850.61
STOCKHOLM,ALFA.ST,Alfa Laval,505.8,33,0,15,16,2,no,no,no,no,44.0,12.18,505.8,487.53,542.33,560.6
STOCKHOLM,SAND.ST,Sandvik,345.9,33,0,15,16,2,no,no,no,no,42.6,11.52,345.9,328.62,380.47,397.75
SP500,RTX,RTX Corp,189.71,33,0,15,16,2,no,no,no,no,35.0,4.64,189.71,182.74,203.64,210.61
SP500,DE,Deere,566.64,33,0,15,16,2,no,no,no,no,42.9,16.23,566.64,542.3,615.32,639.66
STOCKHOLM,EVO.ST,Evolution,563.6,31,0,15,8,8,no,no,no,no,47.4,17.82,563.6,536.87,617.06,643.78
STOCKHOLM,LUND-B.ST,Lundin Mining,520.0,30,0,10,18,2,no,no,no,no,40.6,10.81,520.0,503.79,552.42,568.63
SP500,BMY,Bristol-Myers,58.54,26,0,0,24,2,no,no,no,no,46.8,1.32,58.54,56.56,62.5,64.48
OSLO,DNB.OL,DNB Bank,291.6,26,0,0,24,2,no,no,no,no,49.1,5.69,291.6,283.07,308.67,317.2
COMMODITY,XLB,Materials Select ETF,48.91,25,0,15,8,2,no,no,no,no,45.2,0.99,48.91,47.43,51.88,53.36
STOCKHOLM,SSAB-B.ST,SSAB B,71.0,25,0,15,8,2,no,no,no,no,46.8,2.8,71.0,66.8,79.4,83.61
STOCKHOLM,SSAB-A.ST,SSAB A,71.28,25,0,15,8,2,no,no,no,no,46.6,2.76,71.28,67.13,79.57,83.72
STOCKHOLM,VOLV-B.ST,Volvo,299.7,25,0,15,8,2,no,no,no,no,36.3,8.6,299.7,286.8,325.49,338.39
SP500,UNP,Union Pacific,238.79,25,0,15,8,2,no,no,no,no,38.3,4.72,238.79,231.71,252.96,260.04
STOCKHOLM,HM-B.ST,H&M,172.1,25,0,15,8,2,no,no,no,no,41.4,5.51,172.1,163.83,188.64,196.91
SP500,CME,CME Group,293.78,23,0,0,16,7,no,no,no,no,40.0,6.32,293.78,284.3,312.74,322.22
OSLO,SALM.OL,SalMar,554.5,23,0,15,8,0,no,no,no,no,45.9,15.34,554.5,531.48,600.53,623.55
OSLO,MOWI.OL,Mowi,215.8,23,0,15,8,0,no,no,no,no,45.5,4.58,215.8,208.94,229.53,236.39
SP500,BKNG,Booking,4062.14,23,0,15,0,8,no,no,no,no,38.2,146.34,4062.14,3842.64,4501.15,4720.65
OSLO,NEL.OL,Nel ASA,2.12,23,0,15,0,8,no,no,no,no,48.1,0.09,2.12,1.98,2.4,2.54
SP500,AMD,AMD,201.99,21,0,0,16,5,no,no,no,no,48.2,9.72,201.99,187.41,231.15,245.72
COMMODITY,GDXJ,VanEck Junior Gold ETF,110.58,20,0,10,8,2,no,no,no,no,38.0,7.03,110.58,100.03,131.67,142.22
COMMODITY,PAAS,Pan American Silver,51.7,20,0,10,8,2,no,no,no,no,42.4,3.37,51.7,46.65,61.81,66.86
COMMODITY,KGC,Kinross Gold,28.74,20,0,10,8,2,no,no,no,no,40.7,1.62,28.74,26.31,33.59,36.02
COMMODITY,RGLD,Royal Gold,237.54,20,0,10,8,2,no,no,no,no,40.9,12.07,237.54,219.43,273.75,291.86
COMMODITY,WPM,Wheaton Precious,124.7,20,0,10,8,2,no,no,no,no,40.3,6.84,124.7,114.44,145.22,155.48
COMMODITY,FNV,Franco-Nevada,233.95,20,0,10,8,2,no,no,no,no,41.9,10.67,233.95,217.95,265.95,281.95
COMMODITY,NEM,Newmont,102.1,20,0,10,8,2,no,no,no,no,39.4,5.05,102.1,94.53,117.24,124.81
COMMODITY,GOLD,Barrick Gold,39.42,20,0,10,8,2,no,no,no,no,26.6,2.61,39.42,35.51,47.25,51.16
COMMODITY,CDE,Coeur Mining,17.13,20,0,10,8,2,no,no,no,no,34.8,1.49,17.13,14.89,21.61,23.85
COMMODITY,EQX,Equinox Gold,12.58,20,0,10,8,2,no,no,no,YES,36.8,0.93,12.58,11.18,15.37,16.77
SP500,IBM,IBM,236.34,20,0,15,0,5,no,no,no,no,37.8,7.9,236.34,224.49,260.04,271.89
COMMODITY,SIL,Global X Silver Miners,84.18,20,0,10,8,2,no,no,no,no,38.3,5.15,84.18,76.45,99.64,107.37
COMMODITY,GDX,VanEck Gold Miners ETF,85.79,20,0,10,8,2,no,no,no,no,39.2,4.73,85.79,78.7,99.97,107.05
COMMODITY,AG,First Majestic Silver,20.68,20,0,10,8,2,no,no,no,no,42.9,1.64,20.68,18.22,25.59,28.05
COMMODITY,GLD,SPDR Gold Trust,414.7,20,0,10,8,2,no,no,no,no,38.4,14.18,414.7,393.43,457.23,478.5
COMMODITY,HL,Hecla Mining,17.93,18,0,10,8,0,no,no,no,no,39.1,1.31,17.93,15.97,21.86,23.82
SP500,CB,Chubb,319.09,18,0,0,16,2,no,no,no,no,40.7,5.71,319.09,310.53,336.22,344.78
STOCKHOLM,SEB-A.ST,SEB,172.55,18,0,0,18,0,no,no,no,no,47.1,3.93,172.55,166.65,184.35,190.25
COMMODITY,SLV,iShares Silver Trust,63.44,18,0,10,8,0,no,no,no,no,39.9,3.96,63.44,57.5,75.32,81.26
